City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Gainesville,US,60.94,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
214,San Cristobal,VE,68.22,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
215,Hambantota,LK,71.51,clear sky,6.1241,81.1185,Bungalow 63
216,Betioky,MG,71.6,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
218,Tabuk,PH,74.12,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
220,Velingara,SN,77.92,overcast clouds,13.15,-14.1167,Hotel Najla
224,Mae Sai,TH,60.44,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
226,Vangaindrano,MG,75.02,overcast clouds,-23.35,47.6,Hotel Fanilo
229,Cidreira,BR,70.86,clear sky,-30.1811,-50.2056,Hotel Castelo
230,Guamuchil,MX,77.76,overcast clouds,25.4667,-108.1,Hotel Heredia
232,Codrington,AU,61.83,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
236,Tolaga Bay,NZ,66.99,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
240,Bambous Virieux,MU,76.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
241,Nouadhibou,MR,67.82,clear sky,20.931,-17.0347,El Medina
242,Shingu,JP,52.92,broken clouds,33.7333,135.9833,Shingu UI Hotel
245,Hualmay,PE,68.99,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
246,Tshela,CD,72.66,overcast clouds,-4.9833,12.9333,Hotel Mirador
247,Jacareacanga,BR,74.21,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
251,Kahului,US,77.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
253,Phirangipuram,IN,63.39,few clouds,16.3,80.2667,Carmel Girls Hostel(Universal College Of Engineering And Technology Hostel)
256,Necochea,AR,68.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
257,Sao Felix Do Xingu,BR,73.38,light rain,-6.6447,-51.995,Rio Xingu Camping
258,Puerto Leguizamo,CO,76.86,overcast clouds,-0.1934,-74.7819,la casona de juancho
259,Mana,GF,77.04,overcast clouds,5.6592,-53.7767,LE SAMANA
260,Ondjiva,AO,69.96,scattered clouds,-17.0667,15.7333,COMBUESA
263,Montmagny,FR,50.02,overcast clouds,48.9734,2.3469,Eurohotel Paris Nord
269,Tahta,EG,51.13,clear sky,26.7693,31.5021,shady waheed
270,Barberton,ZA,61.93,light rain,-25.7884,31.0532,Barberton B&B
272,Chabahar,IR,74.79,scattered clouds,25.2919,60.643,هتل گدروشیا
